Time,Equity,Returns,stock1_signal,stock2_signal
2007-03-05,10000.0,0.0,-1,1
2007-03-06,9985.24298,-0.0014757019999999121,-1,1
2007-03-07,9985.030990000001,-2.1230329639854162e-05,-1,1
2007-03-08,9980.63277,-0.00044048135698382396,-1,1
2007-03-09,9983.314820000001,0.00026872544675349275,-1,1
2007-03-11,9983.15229,-1.628016374644048e-05,-1,1
2007-03-12,9983.751470000001,6.001911847031138e-05,-1,1
2007-03-13,9989.52196,0.0005779881457725899,-1,1
2007-03-14,9988.29909,-0.00012241526720657703,-1,1
2007-03-15,9984.364290000001,-0.000393940946756266,-1,1
2007-03-16,9979.855210000002,-0.0004516141307580046,-1,1
2007-03-18,9978.48888,-0.00013690879990235771,-1,1
2007-03-19,9977.905830000002,-5.8430690960453724e-05,-1,1
2007-03-20,9974.30001,-0.0003613804400878218,-1,1
2007-03-21,9969.132020000001,-0.0005181305951112991,-1,1
2007-03-22,9969.542720000001,4.1197167333750784e-05,-1,1
2007-03-23,9975.889220000001,0.0006365888765658134,-1,1
2007-03-25,9974.746650000001,-0.00011453314835430106,-1,1
2007-03-26,9968.86835,-0.0005893182259421037,-1,1
2007-03-27,9967.96414,-9.070337457117716e-05,-1,1
2007-03-28,9967.115870000001,-8.509962396374693e-05,-1,1
2007-03-29,9971.13484,0.0004032229636354856,-1,1
2007-03-30,9968.958550000001,-0.0002182590081190039,-1,1
2007-04-01,9967.32942,-0.00016342028024596278,-1,1
2007-04-02,9969.14329,0.00018198154426007918,-1,1
2007-04-03,9969.12089,-2.246933296867759e-06,-1,1
2007-04-04,9958.67899,-0.0010474243531818361,-1,1
2007-04-05,9958.05829,-6.232754370560922e-05,-1,1
2007-04-06,9958.70369,6.481183190576445e-05,-1,1
2007-04-08,9959.87859,0.0001179772023118808,-1,1
2007-04-09,9960.18649,3.091403145294436e-05,-1,1
2007-04-10,9955.133890000001,-0.0005072796583750483,-1,1
2007-04-11,9955.03929,-9.502634625069284e-06,-1,1
2007-04-12,9955.79289,7.570035416715193e-05,-1,1
2007-04-13,9947.643890000001,-0.0008185184334423834,-1,1
2007-04-15,9947.350890000002,-2.9454210789925384e-05,-1,1
2007-04-16,9942.089590000001,-0.000528914688762927,-1,1
2007-04-17,9945.297690000001,0.0003226786452645847,-1,1
2007-04-18,9942.82129,-0.0002490020990011388,-1,1
2007-04-19,9948.436090000001,0.0005647089328306709,-1,1
2007-04-20,9940.79749,-0.0007678191758881958,-1,1
2007-04-22,9940.82359,2.625543878753689e-06,-1,1
2007-04-23,9942.74759,0.00019354533179094524,-1,1
2007-04-24,9948.72279,0.0006009606445211979,-1,1
2007-04-25,9947.76799,-9.597211824607932e-05,-1,1
2007-04-26,9957.92969,0.0010215055286990626,-1,1
2007-04-27,9951.31499,-0.0006642645816873349,-1,1
2007-04-29,9952.48789,0.00011786382012601848,-1,1
2007-04-30,9953.73069,0.00012487329939370184,-1,1
2007-05-01,9958.437390000001,0.00047285788078732516,-1,1
2007-05-02,9959.838590000001,0.00014070480589722933,-1,1
2007-05-03,9950.650090000001,-0.000922555111407708,-1,1
2007-05-04,9944.22419,-0.0006457769032053307,-1,1
2007-05-06,9944.67649,4.548368895918031e-05,-1,1
2007-05-07,9944.447090000001,-2.306761816017744e-05,-1,1
2007-05-08,9947.10729,0.000267506074085766,-1,1
2007-05-09,9951.78759,0.000470518700919742,-1,1
2007-05-10,9968.135890000001,0.0016427500941065265,-1,1
2007-05-11,9961.669390000001,-0.0006487170792371932,-1,1
2007-05-13,9960.89999,-7.723605049303472e-05,-1,1
2007-05-14,9963.48429,0.0002594444279728769,-1,1
2007-05-15,9960.57709,-0.000291785475380113,-1,1
2007-05-16,9970.56429,0.0010026728280658759,-1,1
2007-05-17,9974.869990000001,0.00043184115510075394,-1,1
2007-05-18,9971.058690000002,-0.0003820901930371434,-1,1
2007-05-20,9970.73399,-3.256424519160195e-05,-1,1
2007-05-21,9969.618190000001,-0.00011190750862666299,-1,1
2007-05-22,9974.518890000001,0.0004915634587607798,-1,1
2007-05-23,9970.61159,-0.0003917281668510686,-1,1
2007-05-24,9978.49719,0.0007908842831576557,-1,1
2007-05-25,9976.61629,-0.00018849531790066099,-1,1
2007-05-27,9976.90499,2.8937667001516232e-05,-1,1
2007-05-28,9977.167590000001,2.632078788589176e-05,-1,1
2007-05-29,9975.892590000001,-0.0001277917794302308,-1,1
2007-05-30,9977.87439,0.00019865891519188494,-1,1
2007-05-31,9972.24259,-0.000564428833223718,-1,1
2007-06-01,9961.503190000001,-0.001076929276747407,-1,1
2007-06-03,9961.73709,2.348039201893748e-05,-1,1
2007-06-04,9961.51029,-2.276711360194028e-05,-1,1
2007-06-05,9961.70259,1.930430169738706e-05,-1,1
2007-06-06,9962.944590000001,0.00012467748246636212,-1,1
2007-06-07,9973.300990000002,0.001039491879779808,-1,1
2007-06-08,9984.00669,0.0010734359677635474,-1,1
2007-06-10,9984.76109,7.556084680460096e-05,-1,1
2007-06-11,9979.38779,-0.0005381500820665908,-1,1
2007-06-12,9985.281490000001,0.0005905873310090293,-1,1
2007-06-13,9981.555890000001,-0.00037310916109178915,-1,1
2007-06-14,9979.91709,-0.00016418282060037814,-1,1
2007-06-15,9977.83979,-0.00020814802179891512,-1,1
2007-06-17,9976.50019,-0.0001342575174780869,-1,1
2007-06-18,9975.92029,-5.812659639714557e-05,-1,1
2007-06-19,9972.01439,-0.0003915327996270035,-1,1
2007-06-20,9978.132790000001,0.0006135570769068011,-1,1
2007-06-21,9981.21019,0.0003084144162806002,-1,1
2007-06-22,9978.48399,-0.0002731332121159724,-1,1
2007-06-24,9980.20269,0.0001722405930322246,-1,1
2007-06-25,9981.31119,0.00011106988850140276,-1,1
2007-06-26,9990.607090000001,0.0009313305459621724,-1,1
2007-06-27,9989.49129,-0.00011168490462587499,-1,1
2007-06-28,9984.068990000002,-0.0005428004132128628,-1,1
2007-06-29,9983.14635,-9.241122040770655e-05,-1,1
2007-07-01,9982.18129,-9.666892241844138e-05,-1,1
2007-07-02,9976.62169,-0.0005569524173609786,-1,1
2007-07-03,9978.91049,0.00022941633662365568,-1,1
2007-07-04,9978.57709,-3.3410461025118465e-05,-1,1
2007-07-05,9983.43309,0.00048664252991192924,-1,1
2007-07-06,9976.847590000001,-0.0006596428243301755,-1,1
2007-07-08,9977.63509,7.89327483350366e-05,-1,1
2007-07-09,9972.69909,-0.0004947064064255713,-1,1
2007-07-10,9969.130490000001,-0.00035783692737478834,-1,1
2007-07-11,9971.32279,0.00021990884783762432,-1,1
2007-07-12,9966.18769,-0.0005149868385716516,-1,1
2007-07-13,9966.104290000001,-8.368295138838633e-06,-1,1
2007-07-15,9965.61029,-4.956801430389124e-05,-1,1
2007-07-16,9967.21759,0.00016128465324527497,-1,1
2007-07-17,9967.86619,6.507332604543947e-05,-1,1
2007-07-18,9959.44049,-0.0008452862267004368,-1,1
2007-07-19,9956.06869,-0.00033855315500763705,-1,1
2007-07-20,9949.40219,-0.0006695916036312255,-1,1
2007-07-22,9949.91709,5.175185304273633e-05,-1,1
2007-07-23,9950.61599,7.024179133119368e-05,-1,1
2007-07-24,9951.52159,9.100944111506415e-05,-1,1
