Time,Equity,Returns,stock1_signal,stock2_signal
2013-05-23,10000.0,0.0,-1,1
2013-05-24,10002.077000000001,0.00020770000000003286,-1,1
2013-05-27,9991.293000000001,-0.0010781760628316706,-1,1
2013-05-28,10024.958,0.003369433765979979,-1,1
2013-05-29,9991.236,-0.0033638046164382596,-1,1
2013-05-30,9968.747000000001,-0.002250872664803394,-1,1
2013-05-31,9975.728000000001,0.0007002886119991114,-1,1
2013-06-03,9970.894,-0.00048457616326358366,-1,1
2013-06-04,9997.768,0.0026952447794550416,-1,1
2013-06-05,9989.637,-0.0008132815244361602,-1,1
2013-06-06,9984.903,-0.00047389109334006196,-1,1
2013-06-07,10027.124000000002,0.00422848374190532,-1,1
2013-06-10,10015.484,-0.0011608513069152337,-1,1
2013-06-11,10009.023000000001,-0.00064510112541738,-1,1
2013-06-12,10010.872000000001,0.0001847333151296926,-1,1
2013-06-13,10026.156,0.0015267401281326975,-1,1
2013-06-14,10030.822,0.0004653827448923842,-1,1
2013-06-17,10033.727,0.0002896073721576631,-1,1
2013-06-18,10053.975,0.002017993911933136,-1,1
2013-06-19,10073.041000000001,0.0018963643732952118,-1,1
2013-06-20,10108.465,0.003516713572395691,-1,1
2013-06-21,10075.797,-0.0032317468577078845,-1,1
2013-06-24,10088.657000000001,0.001276325833083014,-1,1
2013-06-25,10098.893,0.0010146048180643685,-1,1
2013-06-26,10150.891000000001,0.005148881169451114,-1,1
2013-06-27,10183.209,0.0031837599280692963,-1,1
2013-06-28,10148.783000000001,-0.00338066320744268,-1,1
2013-07-01,10138.964,-0.000967505167861149,-1,1
2013-07-02,10156.928,0.0017717786550972559,-1,1
2013-07-03,10164.746000000001,0.0007697209234920344,-1,1
2013-07-04,10169.676000000001,0.0004850096598576492,-1,1
2013-07-05,10216.601,0.004614207964934058,-1,1
2013-07-08,10200.546,-0.0015714619764440885,-1,1
2013-07-09,10194.586000000001,-0.0005842824491942844,-1,1
2013-07-10,10160.246000000001,-0.0033684545895242834,-1,1
2013-07-11,10148.550000000001,-0.001151153229951296,-1,1
2013-07-12,10168.097000000002,0.0019260879633051786,-1,1
2013-07-15,10170.201000000001,0.0002069217081621666,-1,1
2013-07-16,10149.956,-0.0019906194577669067,-1,1
2013-07-17,10171.842,0.002156265504993371,-1,1
2013-07-18,10165.791000000001,-0.0005948775059619882,-1,1
2013-07-19,10151.736,-0.0013825780994317638,-1,1
2013-07-22,10108.916000000001,-0.004217997788752537,-1,1
2013-07-23,10103.226,-0.0005628694510866339,-1,1
2013-07-24,10113.386,0.001005619393251278,-1,1
2013-07-25,10103.291000000001,-0.0009981820134224995,-1,1
2013-07-26,10100.499000000002,-0.00027634559867661945,-1,1
2013-07-29,10111.116,0.001051136186439816,-1,1
2013-07-30,10102.706,-0.0008317578395895531,-1,1
2013-07-31,10114.626,0.001179881904907365,-1,1
2013-08-01,10148.746000000001,0.003373332835045151,-1,1
2013-08-02,10140.146,-0.0008473953333741902,-1,1
2013-08-05,10145.546,0.0005325367110098345,-1,1
2013-08-06,10161.656,0.001587888912040869,-1,1
2013-08-07,10149.506000000001,-0.0011956712567321448,-1,1
2013-08-08,10116.996000000001,-0.003203111560306504,-1,1
2013-08-09,10121.576000000001,0.00045270354955162517,-1,1
2013-08-13,10135.148000000001,0.0013408978996947152,-1,1
2013-08-14,10121.320000000002,-0.0013643609348378272,-1,1
2013-08-15,10092.596000000001,-0.002837969750981162,-1,1
2013-08-16,10092.08,-5.112658824368843e-05,-1,1
2013-08-19,10090.718,-0.0001349573130612347,-1,1
2013-08-20,10094.417000000001,0.0003665745093659467,-1,1
2013-08-21,10101.117,0.0006637332299626042,-1,1
2013-08-22,10086.276,-0.0014692434509966379,-1,1
2013-08-23,10075.562,-0.0010622354573680548,-1,1
2013-08-26,10067.775000000001,-0.000772860114403362,-1,1
2013-08-27,10095.111,0.0027151977472679167,-1,1
2013-08-28,10110.713,0.0015455005893445506,-1,1
2013-08-29,10109.926000000001,-7.78382296083846e-05,-1,1
2013-08-30,10107.841,-0.00020623296352528797,-1,1
2013-09-02,10111.373000000001,0.00034943169367229743,-1,1
2013-09-03,10107.725,-0.0003607818641445659,-1,1
2013-09-04,10118.593,0.0010752172224710588,-1,1
2013-09-05,10147.410000000002,0.0028479255959796834,-1,1
2013-09-06,10129.481,-0.0017668547934893697,-1,1
2013-09-09,10105.495,-0.0023679396802263053,-1,1
2013-09-10,10108.892,0.0003361537460557784,-1,1
2013-09-11,10113.377,0.00044366880168467127,-1,1
2013-09-12,10162.487000000001,0.004855944755149499,-1,1
2013-09-13,10152.844000000001,-0.000948881902628762,-1,1
2013-09-16,10147.276,-0.0005484177635350918,-1,1
2013-09-17,10132.856000000002,-0.0014210710342360544,-1,1
2013-09-18,10100.277,-0.0032151843468417596,-1,1
2013-09-19,10082.386,-0.001771337558365893,-1,1
2013-09-20,10128.293000000001,0.004553188104482464,-1,1
2013-09-23,10113.097,-0.0015003515399881762,-1,1
2013-09-24,10121.896,0.0008700598837330098,-1,1
2013-09-25,10108.28,-0.0013452025193698702,-1,1
2013-09-26,10128.303,0.0019808513416723628,-1,1
2013-09-27,10120.816,-0.0007392156415541029,-1,1
2013-09-30,10110.507000000001,-0.0010185937576574489,-1,1
2013-10-01,10149.16,0.0038230525927136494,-1,1
2013-10-02,10135.024000000001,-0.0013928246278508416,-1,1
2013-10-03,10136.896,0.00018470602536302394,-1,1
2013-10-04,10145.941,0.0008922849755981233,-1,1
2013-10-07,10150.204000000002,0.0004201680258144602,-1,1
2013-10-08,10155.886,0.0005597917046789025,-1,1
2013-10-09,10149.918000000001,-0.0005876395225388187,-1,1
2013-10-10,10197.803,0.004717772104168461,-1,1
2013-10-11,10200.857,0.00029947626954540674,-1,1
2013-10-14,10190.605000000001,-0.0010050135983671327,-1,1
2013-10-15,10189.674,-9.135865829368317e-05,-1,1
2013-10-16,10180.693000000001,-0.0008813824662103897,-1,1
2013-10-17,10137.676000000001,-0.004225350867568589,-1,1
2013-10-18,10143.491,0.0005736028651930347,-1,1
2013-10-21,10144.906,0.0001394983245905923,-1,1
2013-10-22,10121.922,-0.002265570523768301,-1,1
2013-10-23,10114.147,-0.000768134747531124,-1,1
2013-10-24,10091.298,-0.002259112903935434,-1,1
2013-10-25,10081.064,-0.0010141410946342688,-1,1
2013-10-28,10086.256000000001,0.0005150250013292723,-1,1
2013-10-29,10107.674,0.0021234836791768075,-1,1
2013-10-30,10121.787,0.001396265847117606,-1,1
