Time,Open,High,Low,Close,Volume,Day,ATR,direction,dir_count,spread,size,entry_price,TP,SL,profit/loss
2007-01-01 00:00:00,635.679,636.194,635.009,635.497,95,Mon,,bear,1,0.02,100.0,,,,
2007-01-01 04:00:00,635.336,636.22,635.254,635.699,97,Mon,,bull,1,0.02,100.0,,,,
2007-01-01 08:00:00,635.78,636.225,635.201,635.993,99,Mon,,bull,2,0.02,100.0,,,,
2007-01-01 12:00:00,636.053,636.189,635.117,636.006,90,Mon,,bear,1,0.02,100.0,,,,
2007-01-01 16:00:00,635.902,636.185,635.006,635.989,96,Mon,,bull,1,0.02,100.0,,,,
2007-01-01 20:00:00,635.891,637.103,635.122,635.943,127,Mon,,bull,2,0.02,100.0,,,,
2007-01-02 00:00:00,635.791,637.364,635.286,637.319,222,Tue,,bull,3,0.02,100.0,,,,
2007-01-02 04:00:00,637.287,638.877,635.991,638.601,222,Tue,,bull,4,0.02,100.0,,,,
2007-01-02 08:00:00,638.689,640.802,636.984,639.248,235,Tue,,bull,5,0.02,100.0,,,,
2007-01-02 12:00:00,639.261,640.509,637.925,639.715,235,Tue,,bull,6,0.02,100.0,,,,
2007-01-02 16:00:00,640.011,640.698,638.71,639.412,213,Tue,,bear,1,0.02,100.0,,,,
2007-01-02 20:00:00,639.277,640.395,638.612,639.143,155,Tue,,bear,2,0.02,100.0,,,,
2007-01-03 00:00:00,639.029,640.35,638.524,639.768,207,Wed,,bull,1,0.02,100.0,,,,
2007-01-03 04:00:00,639.739,640.994,638.565,639.994,194,Wed,,bull,2,0.02,100.0,,,,
2007-01-03 08:00:00,639.569,640.147,632.606,633.72,239,Wed,,bear,1,0.02,100.0,,,,
2007-01-03 12:00:00,633.655,644.663,632.146,637.352,240,Wed,,bull,1,0.02,100.0,,,,
2007-01-03 16:00:00,637.683,637.942,624.634,627.341,238,Wed,,bear,1,0.02,100.0,,,,
2007-01-03 20:00:00,627.266,628.083,625.778,626.602,184,Wed,,bear,2,0.02,100.0,,,,
2007-01-04 00:00:00,626.699,630.352,625.811,629.03,221,Thu,,bull,1,0.02,100.0,,,,
2007-01-04 04:00:00,628.99,629.689,627.361,628.407,226,Thu,,bear,1,0.02,100.0,,,,
2007-01-04 08:00:00,628.916,629.32,623.47,626.848,240,Thu,3.700200000000001,bear,2,0.02,100.0,,,,
2007-01-04 12:00:00,626.772,629.549,624.099,627.528,239,Thu,3.9243999999999972,bull,1,0.02,100.0,,,,
2007-01-04 16:00:00,627.9,628.045,620.625,621.032,240,Thu,4.244199999999995,bear,1,0.02,100.0,,,,
2007-01-04 20:00:00,620.852,623.018,619.6,622.533,199,Thu,4.361499999999995,bull,1,0.02,100.0,,,,
2007-01-05 00:00:00,622.268,623.589,621.117,623.041,226,Fri,4.426150000000002,bull,2,0.02,100.0,,,,
2007-01-05 04:00:00,623.242,624.126,621.79,623.43,228,Fri,4.443900000000002,bull,3,0.02,100.0,,,,
2007-01-05 08:00:00,623.648,625.768,621.416,624.94,240,Fri,4.557599999999996,bull,4,0.02,100.0,,,,
2007-01-05 12:00:00,625.149,625.412,601.591,602.506,240,Fri,5.604349999999999,bear,1,0.02,100.0,,,,
2007-01-05 16:00:00,602.892,607.461,602.272,606.973,239,Fri,5.6728999999999985,bull,1,0.02,100.0,,,,
2007-01-05 20:00:00,607.054,607.706,604.135,606.841,111,Fri,5.722249999999997,bear,1,0.02,100.0,,,,
2007-01-07 20:00:00,606.711,608.966,606.274,607.867,72,Sun,5.75745,bull,1,0.02,100.0,,,,
2007-01-08 00:00:00,607.808,608.654,606.321,608.328,228,Mon,5.784949999999998,bull,2,0.02,100.0,,,,
2007-01-08 04:00:00,608.366,609.147,606.502,606.916,228,Mon,5.825900000000002,bear,1,0.02,100.0,,,,
2007-01-08 08:00:00,606.907,608.514,605.979,608.224,238,Mon,5.831200000000001,bull,1,0.02,100.0,,,,
2007-01-08 12:00:00,607.994,609.295,606.944,608.35,238,Mon,5.571699999999998,bull,2,0.02,100.0,,,,
2007-01-08 16:00:00,608.661,608.932,602.943,608.501,232,Mon,5.245299999999998,bear,1,0.02,100.0,,,,
2007-01-08 20:00:00,608.21,610.13,607.829,609.123,182,Mon,4.69495,bull,1,0.02,100.0,,,,
2007-01-09 00:00:00,608.894,613.102,608.882,612.951,230,Tue,4.790700000000004,bull,2,0.02,100.0,,,,
2007-01-09 04:00:00,613.104,613.694,610.863,612.887,218,Tue,4.705200000000002,bear,1,0.02,100.0,,,,
2007-01-09 08:00:00,613.222,613.718,610.2,610.7,236,Tue,4.7646999999999995,bear,2,0.02,100.0,,,,
2007-01-09 12:00:00,610.513,611.075,605.281,607.851,238,Tue,4.7619000000000025,bear,3,0.02,100.0,,,,
2007-01-09 16:00:00,607.805,615.662,606.916,611.952,231,Tue,4.926700000000006,bull,1,0.02,100.0,,,,
2007-01-09 20:00:00,611.681,613.884,611.268,612.759,194,Tue,4.686500000000007,bull,2,0.02,100.0,,,,
2007-01-10 00:00:00,612.451,612.908,610.361,612.053,219,Wed,4.642950000000008,bear,1,0.02,100.0,,,,
2007-01-10 04:00:00,612.057,613.01,610.656,612.39,216,Wed,4.637050000000005,bull,1,0.02,100.0,,,,
2007-01-10 08:00:00,612.535,612.93,608.102,611.086,238,Wed,4.761650000000003,bear,1,0.02,100.0,,,,
2007-01-10 12:00:00,611.1,612.914,605.153,607.832,240,Wed,4.932100000000003,bear,2,0.02,100.0,,,,
2007-01-10 16:00:00,608.166,612.459,607.826,611.337,240,Wed,3.9726999999999975,bull,1,0.02,100.0,,,,
2007-01-10 20:00:00,611.137,611.764,609.261,611.169,240,Wed,3.8384000000000014,bull,2,0.02,100.0,,,,
2007-01-11 00:00:00,610.73,611.49,607.982,608.706,240,Thu,3.835250000000002,bear,1,0.02,100.0,,,,
2007-01-11 04:00:00,608.886,612.253,608.045,611.489,240,Thu,3.9110500000000057,bull,1,0.02,100.0,,,,
2007-01-11 08:00:00,612.014,613.329,610.067,611.172,240,Thu,3.9575000000000045,bear,1,0.02,100.0,,,,
2007-01-11 12:00:00,611.158,615.785,610.408,612.682,240,Thu,4.094099999999997,bull,1,0.02,100.0,,,,
2007-01-11 16:00:00,612.752,615.088,609.817,611.488,240,Thu,4.2308999999999966,bear,1,0.02,100.0,,,,
2007-01-11 20:00:00,611.139,611.839,610.118,611.09,240,Thu,4.199399999999997,bear,2,0.02,100.0,,,,
2007-01-12 00:00:00,611.219,612.474,608.678,610.664,240,Fri,4.089749999999998,bear,3,0.02,100.0,,,,
2007-01-12 04:00:00,610.704,613.651,609.857,613.097,240,Fri,4.164399999999995,bull,1,0.02,100.0,,,,
2007-01-12 08:00:00,613.527,614.233,611.723,613.421,240,Fri,4.078899999999993,bear,1,0.02,100.0,,,,
2007-01-12 12:00:00,613.418,619.271,610.701,617.046,240,Fri,4.365849999999995,bull,1,0.02,100.0,,,,
2007-01-12 16:00:00,617.414,627.266,616.617,625.864,240,Fri,4.722399999999999,bull,2,0.02,100.0,,,,
2007-01-12 20:00:00,625.426,627.323,624.829,626.233,120,Fri,4.557399999999996,bull,3,0.02,100.0,,,,
2007-01-14 20:00:00,625.72,627.53,625.072,625.707,120,Sun,4.242999999999995,bear,1,0.02,100.0,,,,
2007-01-15 00:00:00,625.367,626.129,624.133,625.066,240,Mon,4.211999999999994,bear,2,0.02,100.0,,,,
2007-01-15 04:00:00,625.096,625.495,623.679,625.06,240,Mon,4.175449999999995,bear,3,0.02,100.0,,,,
2007-01-15 08:00:00,624.572,627.551,624.115,626.363,240,Mon,4.229549999999994,bull,1,0.02,100.0,,,,
2007-01-15 12:00:00,626.334,627.767,625.218,625.832,240,Mon,4.115600000000001,bear,1,0.02,100.0,,,,
2007-01-15 16:00:00,626.024,627.018,624.978,626.498,240,Mon,3.829550000000006,bull,1,0.02,100.0,,,,
2007-01-15 20:00:00,625.967,626.787,625.352,626.218,240,Mon,3.6696500000000127,bull,2,0.02,100.0,,,,
2007-01-16 00:00:00,626.245,626.86,623.127,624.598,240,Tue,3.7311500000000137,bear,1,0.02,100.0,,,,
2007-01-16 04:00:00,624.613,626.479,623.413,626.049,240,Tue,3.7090500000000133,bull,1,0.02,100.0,,,,
2007-01-16 08:00:00,625.788,626.53,623.568,626.157,240,Tue,3.646750000000009,bull,2,0.02,100.0,,,,
2007-01-16 12:00:00,626.248,627.95,622.721,623.301,238,Tue,3.7451000000000136,bear,1,0.02,100.0,,,,
2007-01-16 16:00:00,623.646,626.354,621.981,625.798,240,Tue,3.6949000000000183,bull,1,0.02,100.0,,,,
2007-01-16 20:00:00,625.399,626.02,622.881,623.447,238,Tue,3.5883000000000207,bear,1,0.02,100.0,,,,
2007-01-17 00:00:00,623.447,624.107,622.499,623.508,212,Wed,3.582650000000018,bull,1,0.02,100.0,,,,
2007-01-17 04:00:00,623.508,624.608,622.549,623.553,240,Wed,3.4958000000000142,bull,2,0.02,100.0,,,,
2007-01-17 08:00:00,623.052,624.396,621.618,622.848,240,Wed,3.44500000000001,bear,1,0.02,100.0,,,,
2007-01-17 12:00:00,622.82,629.824,619.363,628.667,240,Wed,3.8425500000000055,bull,1,0.02,100.0,,,,
2007-01-17 16:00:00,629.117,633.707,628.447,631.383,240,Wed,3.6770500000000084,bull,2,0.02,100.0,,,,
2007-01-17 20:00:00,631.287,633.08,630.512,632.695,195,Wed,3.273000000000013,bull,3,0.02,100.0,,,,
2007-01-18 00:00:00,632.695,633.197,631.047,632.648,233,Thu,3.2558000000000105,bear,1,0.02,100.0,,,,
2007-01-18 04:00:00,632.663,633.627,631.206,632.052,227,Thu,3.253950000000009,bear,2,0.02,100.0,,,,
2007-01-18 08:00:00,632.097,634.883,631.086,632.58,235,Thu,3.344000000000011,bull,1,0.02,100.0,,,,
2007-01-18 12:00:00,632.608,636.48,629.94,632.087,240,Thu,3.5802000000000076,bear,1,0.02,100.0,,,,
2007-01-18 16:00:00,632.208,633.93,625.672,627.725,239,Thu,3.821300000000002,bear,2,0.02,100.0,,,,
2007-01-18 20:00:00,627.723,628.458,625.698,627.648,169,Thu,3.831849999999997,bear,3,0.02,100.0,,,,
2007-01-19 00:00:00,627.351,628.693,626.452,628.337,223,Fri,3.8418999999999928,bull,1,0.02,100.0,,,,
2007-01-19 04:00:00,628.484,628.905,627.038,628.047,232,Fri,3.8634999999999877,bear,1,0.02,100.0,,,,
2007-01-19 08:00:00,628.267,630.304,626.352,629.053,235,Fri,3.8744499999999844,bull,1,0.02,100.0,,,,
2007-01-19 12:00:00,629.413,632.63,627.219,631.381,240,Fri,3.9916999999999803,bull,2,0.02,100.0,,,,
2007-01-19 16:00:00,631.413,636.083,630.67,634.537,227,Fri,4.1142499999999815,bull,3,0.02,100.0,,,,
2007-01-19 20:00:00,634.386,635.729,633.954,634.771,102,Fri,3.941549999999984,bull,4,0.02,100.0,,,,
2007-01-21 20:00:00,634.571,635.648,634.287,634.619,50,Sun,3.790949999999981,bull,5,0.02,100.0,,,,
2007-01-22 00:00:00,634.922,636.07,633.366,635.765,218,Mon,3.7691999999999837,bull,6,0.02,100.0,635.765,637.6496,634.922,
2007-01-22 04:00:00,635.716,636.07,633.883,634.158,214,Mon,3.798149999999987,bear,1,0.02,100.0,,,,Buy loss
2007-01-22 08:00:00,634.191,634.852,632.724,634.565,232,Mon,3.801599999999985,bull,1,0.02,100.0,,,,
2007-01-22 12:00:00,634.173,639.34,632.116,638.055,239,Mon,4.023899999999992,bull,2,0.02,100.0,,,,
2007-01-22 16:00:00,637.977,639.266,631.065,632.464,238,Mon,3.9108999999999923,bear,1,0.02,100.0,,,,
2007-01-22 20:00:00,632.497,634.009,631.332,633.181,199,Mon,3.781749999999994,bull,1,0.02,100.0,,,,
2007-01-23 00:00:00,633.412,634.12,632.476,633.747,230,Tue,3.7355499999999893,bull,2,0.02,100.0,,,,
2007-01-23 04:00:00,633.844,636.007,632.984,635.363,226,Tue,3.779199999999986,bull,3,0.02,100.0,,,,
2007-01-23 08:00:00,635.797,638.034,634.573,637.018,235,Tue,3.8311999999999897,bull,4,0.02,100.0,,,,
2007-01-23 12:00:00,636.995,646.395,636.348,644.792,239,Tue,4.14369999999999,bull,5,0.02,100.0,,,,
2007-01-23 16:00:00,644.954,647.473,642.904,647.117,240,Tue,4.04514999999999,bull,6,0.02,100.0,647.117,649.1395749999999,644.954,
2007-01-23 20:00:00,646.96,647.615,644.653,645.576,203,Tue,3.7803499999999928,bear,1,0.02,100.0,,,,
2007-01-24 00:00:00,645.825,647.089,643.67,644.498,236,Wed,3.813299999999998,bear,2,0.02,100.0,,,,Buy loss
2007-01-24 04:00:00,644.497,645.045,641.54,641.656,236,Wed,3.8764999999999987,bear,3,0.02,100.0,,,,
2007-01-24 08:00:00,641.949,644.443,640.644,642.47,239,Wed,3.9730999999999996,bull,1,0.02,100.0,,,,
2007-01-24 12:00:00,642.138,644.347,638.015,640.597,240,Wed,4.092099999999999,bear,1,0.02,100.0,,,,
2007-01-24 16:00:00,640.241,648.58,639.816,648.534,240,Wed,4.259750000000002,bull,1,0.02,100.0,,,,
2007-01-24 20:00:00,648.152,648.77,646.286,646.582,186,Wed,4.113300000000004,bear,1,0.02,100.0,,,,
2007-01-25 00:00:00,646.87,648.558,644.835,646.247,221,Thu,4.2106999999999974,bear,2,0.02,100.0,,,,
2007-01-25 04:00:00,646.394,647.67,644.637,645.725,237,Thu,4.294299999999998,bear,3,0.02,100.0,,,,
2007-01-25 08:00:00,645.963,652.055,645.52,650.03,239,Thu,4.485849999999994,bull,1,0.02,100.0,,,,
2007-01-25 12:00:00,650.284,654.442,649.633,652.048,239,Thu,4.616949999999991,bull,2,0.02,100.0,,,,
2007-01-25 16:00:00,652.42,652.957,644.375,645.517,239,Thu,4.939649999999995,bear,1,0.02,100.0,,,,
2007-01-25 20:00:00,645.149,646.87,644.235,644.778,184,Thu,4.7101999999999915,bear,2,0.02,100.0,,,,
2007-01-26 00:00:00,645.314,645.57,643.202,644.798,226,Fri,4.418549999999999,bear,3,0.02,100.0,,,,
2007-01-26 04:00:00,644.813,646.083,643.931,644.47,223,Fri,4.392299999999994,bear,4,0.02,100.0,,,,
2007-01-26 08:00:00,644.242,645.67,640.576,641.472,235,Fri,4.564799999999991,bear,5,0.02,100.0,,,,
2007-01-26 12:00:00,641.548,647.833,639.942,644.823,240,Fri,4.808199999999994,bull,1,0.02,100.0,644.823,642.4189,641.548,Sell loss
2007-01-26 16:00:00,645.05,646.33,642.173,644.998,237,Fri,4.842999999999995,bear,1,0.02,100.0,,,,
2007-01-26 20:00:00,644.565,646.333,643.604,645.38,100,Fri,4.47709999999999,bull,1,0.02,100.0,,,,
2007-01-28 20:00:00,645.262,647.708,644.8,647.07,80,Sun,4.394049999999993,bull,2,0.02,100.0,,,,
2007-01-29 00:00:00,647.068,647.406,644.953,646.051,212,Mon,4.368599999999992,bear,1,0.02,100.0,,,,
2007-01-29 04:00:00,646.091,646.815,643.555,644.146,204,Mon,4.360649999999993,bear,2,0.02,100.0,,,,
2007-01-29 08:00:00,643.965,644.733,640.533,642.09,239,Mon,4.39539999999999,bear,3,0.02,100.0,,,,
2007-01-29 12:00:00,641.842,645.592,640.028,644.659,239,Mon,4.483649999999988,bull,1,0.02,100.0,,,,
2007-01-29 16:00:00,644.721,647.51,641.182,642.602,237,Mon,4.483449999999988,bear,1,0.02,100.0,,,,
2007-01-29 20:00:00,642.217,643.418,640.52,642.303,178,Mon,4.1901499999999885,bull,1,0.02,100.0,,,,
2007-01-30 00:00:00,642.294,642.829,640.947,641.988,216,Tue,4.160049999999984,bear,1,0.02,100.0,,,,
2007-01-30 04:00:00,642.003,643.145,641.025,641.908,216,Tue,4.079899999999986,bear,2,0.02,100.0,,,,
2007-01-30 08:00:00,641.942,643.708,639.983,642.702,237,Tue,4.114499999999987,bull,1,0.02,100.0,,,,
2007-01-30 12:00:00,643.048,645.785,641.76,644.433,240,Tue,3.9889999999999874,bull,2,0.02,100.0,,,,
2007-01-30 16:00:00,644.722,646.214,642.696,645.798,240,Tue,3.9244499999999904,bull,3,0.02,100.0,,,,
2007-01-30 20:00:00,645.369,647.327,644.53,646.225,185,Tue,3.6351999999999918,bull,4,0.02,100.0,,,,
2007-01-31 00:00:00,646.009,647.38,644.254,645.548,220,Wed,3.659749999999991,bear,1,0.02,100.0,,,,
2007-01-31 04:00:00,645.298,646.043,643.759,644.998,231,Wed,3.6555499999999883,bear,2,0.02,100.0,,,,
2007-01-31 08:00:00,644.493,646.198,643.454,644.948,235,Wed,3.685149999999993,bull,1,0.02,100.0,,,,
2007-01-31 12:00:00,644.999,654.037,641.285,652.907,237,Wed,4.0680499999999995,bull,2,0.02,100.0,,,,
2007-01-31 16:00:00,653.697,654.648,649.181,652.583,239,Wed,3.9468500000000004,bear,1,0.02,100.0,,,,
2007-01-31 20:00:00,652.406,652.958,651.217,651.899,173,Wed,3.8260499999999977,bear,2,0.02,100.0,,,,
2007-02-01 00:00:00,652.144,654.53,651.318,653.398,225,Thu,3.850200000000001,bull,1,0.02,100.0,,,,
2007-02-01 04:00:00,653.413,653.667,651.389,652.34,227,Thu,3.818700000000001,bear,1,0.02,100.0,,,,
2007-02-01 08:00:00,651.976,654.62,650.819,653.922,234,Thu,3.8861000000000048,bull,1,0.02,100.0,,,,
2007-02-01 12:00:00,653.667,661.108,652.692,657.762,239,Thu,4.143899999999997,bull,2,0.02,100.0,,,,
2007-02-01 16:00:00,657.918,658.77,654.639,656.498,240,Thu,4.140449999999999,bear,1,0.02,100.0,,,,
2007-02-01 20:00:00,656.106,657.772,655.218,656.098,190,Thu,3.9899500000000048,bear,2,0.02,100.0,,,,
2007-02-02 00:00:00,656.273,657.008,653.948,655.387,228,Fri,3.826550000000009,bear,3,0.02,100.0,,,,
2007-02-02 04:00:00,655.363,656.532,654.572,655.906,221,Fri,3.7796500000000095,bull,1,0.02,100.0,,,,
2007-02-02 08:00:00,655.957,656.908,652.652,656.136,226,Fri,3.8983500000000104,bull,2,0.02,100.0,,,,
2007-02-02 12:00:00,656.543,659.558,643.901,644.994,240,Fri,4.575200000000012,bear,1,0.02,100.0,,,,
2007-02-02 16:00:00,645.246,647.219,642.19,646.947,235,Fri,4.640400000000011,bull,1,0.02,100.0,,,,
2007-02-02 20:00:00,646.948,647.997,646.233,647.066,103,Fri,4.527350000000013,bull,2,0.02,100.0,,,,
2007-02-04 20:00:00,646.846,648.397,646.451,647.652,68,Sun,4.448750000000013,bull,3,0.02,100.0,,,,
2007-02-05 00:00:00,647.957,649.511,646.985,647.886,224,Mon,4.435200000000009,bear,1,0.02,100.0,,,,
2007-02-05 04:00:00,647.946,648.273,645.207,646.095,234,Mon,4.4322000000000115,bear,2,0.02,100.0,,,,
2007-02-05 08:00:00,646.293,648.583,645.347,645.964,232,Mon,4.4798000000000116,bear,3,0.02,100.0,,,,
2007-02-05 12:00:00,645.869,651.687,645.171,649.74,240,Mon,4.668400000000008,bull,1,0.02,100.0,,,,
2007-02-05 16:00:00,649.682,651.215,646.78,647.371,240,Mon,4.252550000000008,bear,1,0.02,100.0,,,,
2007-02-05 20:00:00,647.186,648.957,646.525,647.791,168,Mon,4.100800000000009,bull,1,0.02,100.0,,,,
2007-02-06 00:00:00,647.442,649.208,646.928,649.097,213,Tue,4.127750000000009,bull,2,0.02,100.0,,,,
2007-02-06 04:00:00,649.023,650.445,647.863,650.21,217,Tue,4.096250000000009,bull,3,0.02,100.0,,,,
2007-02-06 08:00:00,650.619,654.928,649.671,653.201,230,Tue,4.245200000000006,bull,4,0.02,100.0,,,,
2007-02-06 12:00:00,653.115,658.229,649.994,649.994,239,Tue,4.466900000000004,bear,1,0.02,100.0,,,,
2007-02-06 16:00:00,650.405,654.607,650.119,653.023,238,Tue,4.276750000000004,bull,1,0.02,100.0,,,,
2007-02-06 20:00:00,653.048,653.61,651.979,652.412,145,Tue,4.151750000000004,bear,1,0.02,100.0,,,,
2007-02-07 00:00:00,652.472,655.308,652.331,654.758,206,Wed,4.1728999999999985,bull,1,0.02,100.0,,,,
2007-02-07 04:00:00,654.733,655.597,652.947,654.686,208,Wed,4.152399999999995,bear,1,0.02,100.0,,,,
2007-02-07 08:00:00,654.761,655.97,653.152,654.58,240,Wed,4.195299999999992,bear,2,0.02,100.0,,,,
2007-02-07 12:00:00,654.392,656.078,651.628,654.328,227,Wed,4.204999999999989,bear,3,0.02,100.0,,,,
2007-02-07 16:00:00,654.605,656.508,650.032,651.182,189,Wed,3.7459499999999877,bear,4,0.02,100.0,,,,
2007-02-07 20:00:00,651.17,652.254,650.118,651.362,128,Wed,3.6012999999999864,bull,1,0.02,100.0,,,,
2007-02-08 00:00:00,651.633,652.961,650.829,652.077,202,Thu,3.619699999999989,bull,2,0.02,100.0,,,,
2007-02-08 04:00:00,652.053,653.159,650.556,651.135,201,Thu,3.652549999999985,bear,1,0.02,100.0,,,,
2007-02-08 08:00:00,651.369,651.416,646.879,649.074,235,Thu,3.7530999999999892,bear,2,0.02,100.0,,,,
2007-02-08 12:00:00,648.74,657.182,647.051,654.806,224,Thu,4.106349999999987,bull,1,0.02,100.0,,,,
2007-02-08 16:00:00,655.372,660.157,653.414,658.96,228,Thu,4.281699999999989,bull,2,0.02,100.0,,,,
2007-02-08 20:00:00,658.944,661.24,658.257,659.99,186,Thu,4.105049999999994,bull,3,0.02,100.0,,,,
2007-02-09 00:00:00,659.85,660.478,657.512,658.747,207,Fri,4.031599999999992,bear,1,0.02,100.0,,,,
2007-02-09 04:00:00,658.913,659.482,657.828,658.92,118,Fri,3.992699999999991,bull,1,0.02,100.0,,,,
2007-02-09 08:00:00,658.52,660.769,656.568,657.922,198,Fri,4.088749999999993,bear,1,0.02,100.0,,,,
